employee_id,hire_date,termination_date,department,job_level,termination_reason
EMP0436,08/21/2022,03/25/2025,Engineering,Individual Contributor,Voluntary
EMP0437,01/03/2021,09/01/2021,Operations,Lead,
EMP0438,07/23/2021,09/15/2021,Customer Support,Lead,Involuntary
EMP0439,06/23/2021,11/14/2024,Finance,Manager,Voluntary
EMP0440,07/15/2023,,HR,Individual Contributor,
EMP0441,06/07/2023,07/27/2023,HR,Individual Contributor,Involuntary
EMP0442,01/13/2020,03/09/2020,Product Development,Individual Contributor,Involuntary
EMP0443,02/17/2022,09/25/2022,Sales,Lead,Voluntary
EMP0444,07/06/2022,,Marketing,Manager,
EMP0445,06/20/2025,,Operations,Individual Contributor,
EMP0446,02/18/2025,,Marketing,Individual Contributor,
EMP0447,01/21/2025,,Sales,Individual Contributor,
EMP0448,03/20/2022,04/21/2022,Finance,Senior,Involuntary
EMP0449,03/17/2021,07/18/2021,Marketing,Manager,
EMP0450,12/20/2021,04/21/2022,Customer Support,Senior,Involuntary
EMP0451,10/22/2021,,Sales,Manager,
EMP0452,03/28/2020,08/26/2022,Customer Support,Senior,Voluntary
EMP0453,07/18/2025,,Marketing,Individual Contributor,
EMP0454,10/22/2022,09/17/2023,Customer Support,Lead,Voluntary
EMP0455,07/14/2022,11/17/2024,Customer Support,Individual Contributor,Voluntary
EMP0456,04/18/2022,06/14/2022,HR,Senior,Involuntary
EMP0457,08/17/2022,10/09/2023,Operations,Director,Voluntary
EMP0458,08/06/2021,,Marketing,Individual Contributor,
EMP0459,10/03/2024,05/24/2025,Marketing,Individual Contributor,Voluntary
EMP0460,10/14/2023,11/19/2023,Sales,Individual Contributor,Voluntary
EMP0461,12/13/2022,,Sales,Senior,
EMP0462,11/01/2022,09/24/2023,Finance,Lead,Voluntary
EMP0463,08/03/2022,09/13/2022,Finance,Senior,Voluntary
EMP0464,06/25/2021,08/09/2021,Sales,Senior,
EMP0465,02/23/2022,03/28/2022,Operations,Lead,Involuntary
EMP0466,08/08/2020,09/13/2021,Operations,Individual Contributor,Voluntary
EMP0467,02/16/2022,,Operations,Individual Contributor,
EMP0468,03/06/2020,01/06/2024,Finance,Individual Contributor,Voluntary
EMP0469,08/27/2020,01/23/2021,Customer Support,Lead,Voluntary
EMP0470,01/12/2021,05/16/2025,Operations,Individual Contributor,Voluntary
EMP0471,08/13/2020,04/03/2021,Marketing,Lead,
EMP0472,10/11/2022,06/03/2024,HR,Senior,Voluntary
EMP0473,07/26/2022,,Sales,Senior,
EMP0474,01/19/2021,11/28/2023,HR,Individual Contributor,Voluntary
EMP0475,09/26/2021,04/30/2022,HR,Manager,Voluntary
EMP0476,03/01/2022,04/13/2022,Operations,Individual Contributor,Involuntary
EMP0477,03/12/2023,04/24/2023,Sales,Individual Contributor,Involuntary
EMP0478,03/08/2025,04/24/2025,Marketing,Individual Contributor,Voluntary
EMP0479,07/15/2023,08/16/2024,Customer Support,Manager,Voluntary
EMP0480,06/12/2023,,HR,Individual Contributor,
EMP0481,06/03/2022,10/27/2022,Customer Support,Individual Contributor,Voluntary
EMP0482,02/22/2023,,Engineering,Senior,
EMP0483,03/22/2022,02/04/2024,Marketing,Individual Contributor,Voluntary
EMP0484,03/09/2024,,Customer Support,Individual Contributor,
EMP0485,01/10/2022,11/27/2023,Operations,Individual Contributor,Involuntary
EMP0486,03/18/2023,04/29/2023,Customer Support,Individual Contributor,Involuntary
EMP0487,07/06/2022,08/23/2022,Product Development,Individual Contributor,Involuntary
EMP0488,03/04/2025,,Sales,Director,
EMP0489,06/12/2024,04/12/2025,Operations,Senior,Voluntary
EMP0490,02/09/2023,03/17/2025,Operations,Senior,Layoff
EMP0491,10/26/2022,12/05/2022,Marketing,Individual Contributor,Involuntary
EMP0492,02/22/2022,,Operations,Manager,
EMP0493,03/28/2021,02/15/2023,Customer Support,Manager,Voluntary
EMP0494,07/18/2022,08/24/2022,HR,Lead,Voluntary
EMP0495,03/23/2023,07/30/2023,Finance,Individual Contributor,Voluntary
EMP0496,09/28/2022,,Operations,Individual Contributor,
EMP0497,08/28/2022,,Engineering,Senior,
EMP0498,03/09/2021,,Finance,Individual Contributor,
EMP0499,01/09/2022,11/18/2024,Sales,Individual Contributor,Voluntary
EMP0500,08/19/2020,10/09/2021,Marketing,Senior,Voluntary
EMP0501,02/27/2020,01/12/2024,Engineering,Senior,Voluntary
EMP0502,12/11/2020,01/12/2021,Sales,Individual Contributor,
EMP0503,04/20/2022,03/09/2023,Sales,Senior,Involuntary
EMP0504,02/01/2022,06/22/2024,Marketing,Manager,Voluntary
EMP0505,10/24/2023,,Operations,Individual Contributor,
EMP0506,02/18/2024,04/04/2024,Finance,Director,Involuntary
EMP0507,01/05/2023,11/11/2023,HR,Individual Contributor,Voluntary
EMP0508,08/23/2021,04/12/2022,Sales,Senior,Voluntary
EMP0509,07/19/2021,,Marketing,Individual Contributor,
EMP0510,03/16/2022,05/06/2025,Finance,Senior,Voluntary
EMP0511,11/13/2023,04/07/2024,Sales,Individual Contributor,Involuntary
EMP0512,08/24/2021,04/06/2024,Engineering,Senior,Voluntary
EMP0513,08/22/2020,10/12/2020,HR,Individual Contributor,Involuntary
EMP0514,06/23/2023,08/06/2023,Customer Support,Senior,Voluntary
EMP0515,02/12/2024,03/26/2024,HR,Individual Contributor,Involuntary
EMP0516,09/11/2022,07/28/2023,Marketing,Senior,Voluntary
EMP0517,07/12/2024,,Sales,Lead,
EMP0518,02/22/2023,10/14/2023,Finance,Individual Contributor,Voluntary
EMP0519,07/21/2021,08/21/2021,Marketing,Individual Contributor,Voluntary
EMP0520,01/12/2024,,HR,Individual Contributor,
EMP0521,01/06/2021,05/23/2021,Finance,Individual Contributor,
EMP0522,01/22/2025,,HR,Individual Contributor,
EMP0523,07/07/2025,,Customer Support,Manager,
EMP0524,03/20/2022,,Sales,Lead,
EMP0525,02/07/2023,03/20/2023,Finance,Individual Contributor,Involuntary
EMP0526,05/07/2023,09/18/2023,Customer Support,Individual Contributor,Involuntary
EMP0527,04/08/2021,02/11/2025,Customer Support,Senior,Involuntary
EMP0528,02/22/2021,09/22/2023,Product Development,Senior,Voluntary
EMP0529,10/12/2021,08/31/2022,Sales,Individual Contributor,Voluntary
EMP0530,07/10/2020,11/12/2020,Product Development,Director,Involuntary
EMP0531,04/23/2024,12/08/2024,Customer Support,Senior,Involuntary
EMP0532,05/27/2021,06/28/2021,Customer Support,Lead,Voluntary
EMP0533,03/09/2023,07/21/2023,Finance,Individual Contributor,Involuntary
EMP0534,04/20/2023,08/29/2023,Sales,Director,Voluntary
EMP0535,01/17/2022,,Operations,Individual Contributor,
EMP0536,07/27/2025,,Customer Support,Senior,
EMP0537,07/10/2020,02/19/2024,HR,Individual Contributor,Voluntary
EMP0538,07/23/2023,02/25/2025,Customer Support,Senior,Voluntary
EMP0539,09/05/2022,,Finance,Manager,
EMP0540,10/17/2021,05/22/2022,Finance,Individual Contributor,Involuntary
EMP0541,02/23/2021,06/28/2023,Operations,Individual Contributor,Involuntary
EMP0542,09/26/2021,,Finance,Director,
EMP0543,01/22/2022,06/16/2022,Sales,Individual Contributor,Voluntary
EMP0544,01/03/2022,,Marketing,Director,
EMP0545,11/05/2023,,Customer Support,Individual Contributor,
EMP0546,12/16/2022,10/22/2023,Operations,Individual Contributor,Voluntary
EMP0547,05/07/2024,,Marketing,Individual Contributor,
EMP0548,03/28/2023,02/12/2024,Sales,Lead,Voluntary
EMP0549,10/02/2021,,HR,Manager,
EMP0550,06/11/2024,,Finance,Individual Contributor,
EMP0551,12/01/2022,10/18/2024,Sales,Individual Contributor,Voluntary
EMP0552,12/21/2023,,Finance,Senior,
EMP0553,05/23/2021,,Operations,Individual Contributor,
EMP0554,06/24/2023,11/04/2024,Finance,Manager,Voluntary
EMP0555,11/11/2022,03/11/2025,Operations,Senior,Voluntary
EMP0556,02/24/2022,04/21/2022,Operations,Senior,Voluntary
EMP0557,02/12/2023,03/23/2023,Product Development,Lead,Voluntary
EMP0558,07/13/2023,,Marketing,Senior,
EMP0559,01/11/2023,,Engineering,Individual Contributor,
EMP0560,08/01/2020,12/23/2023,Finance,Senior,Involuntary
EMP0561,03/01/2020,04/07/2021,Product Development,Individual Contributor,Voluntary
EMP0562,03/15/2023,04/21/2025,HR,Individual Contributor,Involuntary
EMP0563,03/19/2023,10/27/2023,Operations,Individual Contributor,Voluntary
EMP0564,08/15/2021,07/03/2022,Operations,Individual Contributor,Voluntary
EMP0565,08/01/2020,03/11/2021,Sales,Individual Contributor,
EMP0566,08/13/2023,10/09/2023,Product Development,Individual Contributor,Involuntary
EMP0567,08/07/2023,06/21/2024,Marketing,Individual Contributor,Voluntary
EMP0568,03/07/2022,10/07/2023,Marketing,Individual Contributor,Layoff
EMP0569,07/04/2022,,Engineering,Senior,
EMP0570,03/20/2022,,Customer Support,Individual Contributor,
EMP0571,03/03/2020,04/13/2022,HR,Lead,Voluntary
EMP0572,07/26/2020,12/16/2023,HR,Manager,Voluntary
EMP0573,07/21/2021,,Operations,Senior,
EMP0574,11/07/2021,12/28/2021,Sales,Director,
EMP0575,03/13/2022,,Finance,Individual Contributor,
EMP0576,06/10/2021,07/23/2021,Operations,Individual Contributor,Voluntary
EMP0577,06/18/2023,,Finance,Individual Contributor,
EMP0578,08/03/2020,,Sales,Individual Contributor,
EMP0579,08/26/2021,01/22/2022,Product Development,Individual Contributor,Involuntary
EMP0580,03/21/2022,08/04/2023,Sales,Individual Contributor,Voluntary
EMP0581,01/02/2024,,Marketing,Senior,
EMP0582,12/19/2023,,Operations,Individual Contributor,
EMP0583,06/20/2023,07/25/2023,Operations,Individual Contributor,Voluntary
EMP0584,09/25/2022,02/12/2023,Product Development,Senior,Involuntary
EMP0585,04/25/2021,06/13/2022,Finance,Individual Contributor,Voluntary
EMP0586,11/18/2020,01/16/2024,HR,Individual Contributor,Voluntary
EMP0587,08/27/2022,04/14/2023,HR,Individual Contributor,Involuntary
EMP0588,10/13/2021,05/26/2022,HR,Individual Contributor,Voluntary
EMP0589,03/20/2023,,Marketing,Individual Contributor,
EMP0590,04/20/2024,,Sales,Manager,
EMP0591,06/18/2022,11/01/2023,HR,Senior,Voluntary
EMP0592,04/02/2021,,Finance,Senior,
EMP0593,01/28/2021,12/07/2021,Customer Support,Individual Contributor,Voluntary
EMP0594,12/12/2021,04/21/2023,Product Development,Manager,Voluntary
EMP0595,11/18/2023,04/15/2025,HR,Individual Contributor,Involuntary
EMP0596,09/19/2022,05/05/2023,Sales,Individual Contributor,Layoff
EMP0597,06/06/2021,01/16/2022,Sales,Individual Contributor,Layoff
EMP0598,09/03/2023,10/22/2023,Product Development,Manager,Involuntary
EMP0599,03/13/2023,05/02/2023,Marketing,Individual Contributor,Involuntary
EMP0600,03/14/2024,,Operations,Individual Contributor,
EMP0601,08/09/2022,,Operations,Individual Contributor,
EMP0602,03/12/2022,05/08/2022,Finance,Senior,Voluntary
EMP0603,02/25/2022,,Engineering,Individual Contributor,
EMP0604,03/05/2024,,Sales,Manager,
EMP0605,10/09/2020,11/22/2023,Product Development,Individual Contributor,Involuntary
EMP0606,10/28/2021,06/23/2024,Customer Support,Individual Contributor,Involuntary
EMP0607,11/18/2024,,Sales,Individual Contributor,
EMP0608,08/13/2020,07/02/2022,Operations,Individual Contributor,Involuntary
EMP0609,02/07/2020,03/16/2020,Product Development,Senior,Involuntary
EMP0610,08/25/2025,,Engineering,Individual Contributor,
EMP0611,07/09/2024,,Sales,Individual Contributor,
EMP0612,07/01/2025,,Sales,Senior,
EMP0613,10/19/2022,09/15/2023,Operations,Manager,Voluntary
EMP0614,10/25/2024,,Engineering,Senior,
EMP0615,04/06/2021,,Marketing,Senior,
EMP0616,03/07/2021,07/12/2023,Operations,Lead,Voluntary
EMP0617,01/16/2022,,Finance,Individual Contributor,
EMP0618,06/08/2023,07/17/2023,Finance,Individual Contributor,Voluntary
EMP0619,05/19/2022,10/18/2024,Customer Support,Individual Contributor,Involuntary
EMP0620,03/11/2022,08/05/2022,Operations,Senior,Voluntary
EMP0621,02/22/2022,,HR,Individual Contributor,
EMP0622,07/15/2020,11/17/2023,Marketing,Individual Contributor,Voluntary
EMP0623,08/04/2020,12/26/2023,HR,Director,Voluntary
EMP0624,10/17/2025,,Sales,Individual Contributor,
EMP0625,07/06/2024,,Finance,Individual Contributor,
EMP0626,01/16/2021,11/28/2021,Marketing,Individual Contributor,
EMP0627,01/13/2023,,Engineering,Senior,
EMP0628,10/08/2022,,Finance,Director,
EMP0629,06/20/2023,,Finance,Senior,
EMP0630,07/13/2022,06/01/2024,Engineering,Individual Contributor,Involuntary
EMP0631,05/09/2023,10/06/2023,Sales,Individual Contributor,Involuntary
EMP0632,11/26/2023,,HR,Senior,
EMP0633,09/03/2023,,HR,Individual Contributor,
EMP0634,07/14/2021,,Customer Support,Manager,
EMP0635,10/17/2020,12/05/2020,Operations,Individual Contributor,
EMP0636,03/08/2025,,Engineering,Senior,
EMP0637,04/25/2024,,Finance,Individual Contributor,
EMP0638,05/27/2024,07/25/2024,HR,Lead,Involuntary
EMP0639,10/05/2022,11/07/2022,Marketing,Individual Contributor,Involuntary
EMP0640,02/18/2021,01/16/2023,Product Development,Senior,Voluntary
EMP0641,01/02/2020,02/28/2022,Operations,Senior,Involuntary
EMP0642,02/21/2023,01/13/2024,Customer Support,Senior,Voluntary
EMP0643,08/02/2021,,Sales,Individual Contributor,
EMP0644,08/08/2021,01/01/2022,Customer Support,Individual Contributor,Voluntary
EMP0645,08/19/2024,,Finance,Director,
EMP0646,08/14/2023,07/13/2024,Marketing,Individual Contributor,Voluntary
EMP0647,05/14/2021,09/18/2021,Customer Support,Individual Contributor,Voluntary
EMP0648,07/19/2025,,Sales,Individual Contributor,
EMP0649,11/08/2023,12/30/2023,Marketing,Lead,Voluntary
EMP0650,02/11/2023,04/05/2023,Product Development,Individual Contributor,Involuntary
EMP0651,02/28/2024,,Marketing,Senior,
EMP0652,02/12/2022,03/21/2022,Sales,Individual Contributor,Voluntary
EMP0653,10/06/2023,,Finance,Individual Contributor,
EMP0654,08/17/2023,,Finance,Individual Contributor,
EMP0655,09/03/2020,,Sales,Individual Contributor,
EMP0656,02/09/2020,,Marketing,Manager,
EMP0657,07/25/2021,11/28/2021,Operations,Manager,
EMP0658,07/17/2022,11/29/2024,Operations,Senior,Voluntary
EMP0659,06/05/2023,04/16/2025,Sales,Individual Contributor,Layoff
EMP0660,04/09/2021,05/16/2021,Marketing,Lead,Involuntary
EMP0661,01/16/2024,08/21/2024,Engineering,Senior,Voluntary
EMP0662,01/22/2024,,Marketing,Lead,
EMP0663,06/28/2022,11/25/2024,Sales,Individual Contributor,Involuntary
EMP0664,09/15/2023,10/15/2023,Sales,Individual Contributor,Involuntary
EMP0665,02/20/2020,03/26/2020,HR,Director,
EMP0666,03/03/2021,07/15/2023,Finance,Manager,Voluntary
EMP0667,08/09/2022,09/23/2024,Sales,Lead,Layoff
EMP0668,12/11/2024,01/17/2025,HR,Individual Contributor,Voluntary
EMP0669,07/05/2022,09/03/2022,Operations,Senior,Involuntary
EMP0670,01/21/2021,,Sales,Manager,
EMP0671,07/02/2022,,Operations,Senior,
EMP0672,08/17/2020,,Engineering,Manager,
EMP0673,09/24/2024,,Sales,Senior,
EMP0674,10/19/2024,03/05/2025,Customer Support,Individual Contributor,Involuntary
EMP0675,02/25/2020,10/01/2023,Sales,Individual Contributor,Voluntary
EMP0676,08/02/2020,06/05/2024,Operations,Individual Contributor,Voluntary
EMP0677,07/03/2025,,HR,Individual Contributor,
EMP0678,02/20/2023,12/23/2023,HR,Individual Contributor,Voluntary
EMP0679,09/14/2023,11/04/2023,Marketing,Individual Contributor,Voluntary
EMP0680,09/09/2021,10/21/2023,Marketing,Manager,Voluntary
EMP0681,07/05/2023,,Finance,Lead,
EMP0682,04/17/2022,09/12/2022,Marketing,Individual Contributor,Voluntary
EMP0683,09/08/2022,01/26/2023,HR,Senior,Involuntary
EMP0684,08/27/2020,01/12/2021,Sales,Manager,
EMP0685,09/03/2020,04/17/2023,Customer Support,Individual Contributor,Voluntary
EMP0686,04/12/2021,05/18/2021,Sales,Manager,Voluntary
EMP0687,05/05/2024,06/30/2024,Sales,Individual Contributor,Involuntary
EMP0688,08/16/2022,09/21/2022,Marketing,Individual Contributor,Involuntary
EMP0689,08/14/2021,,Engineering,Individual Contributor,
EMP0690,07/27/2021,09/17/2021,Marketing,Senior,
EMP0691,09/21/2022,05/03/2024,Operations,Senior,Voluntary
EMP0692,11/20/2022,,Operations,Individual Contributor,
EMP0693,01/12/2023,,HR,Senior,
EMP0694,05/01/2022,12/19/2022,Customer Support,Lead,Involuntary
EMP0695,11/10/2020,12/30/2020,Product Development,Individual Contributor,Voluntary
EMP0696,10/26/2022,06/03/2023,Finance,Lead,Voluntary
EMP0697,03/12/2023,,Marketing,Individual Contributor,
EMP0698,09/12/2024,10/31/2024,Customer Support,Individual Contributor,Voluntary
EMP0699,08/21/2022,01/01/2023,Finance,Manager,Voluntary
EMP0700,07/14/2023,08/23/2023,Product Development,Individual Contributor,Voluntary
EMP0701,04/21/2021,05/27/2023,Product Development,Senior,Involuntary
EMP0702,10/17/2020,,Customer Support,Senior,
EMP0703,03/24/2021,,Marketing,Individual Contributor,
EMP0704,09/05/2021,04/25/2023,Product Development,Senior,Voluntary
EMP0705,12/15/2022,,Engineering,Lead,
EMP0706,08/13/2021,01/03/2022,Marketing,Individual Contributor,Voluntary
EMP0707,05/13/2022,10/09/2022,HR,Individual Contributor,Voluntary
EMP0708,08/25/2021,,Finance,Manager,
EMP0709,09/27/2021,02/22/2022,Customer Support,Individual Contributor,Voluntary
EMP0710,03/12/2021,04/19/2021,Marketing,Lead,
EMP0711,08/15/2023,12/19/2024,Customer Support,Lead,Voluntary
EMP0712,01/08/2024,,Sales,Individual Contributor,
EMP0713,05/15/2021,06/26/2024,Finance,Manager,Voluntary
EMP0714,06/23/2023,05/01/2024,Marketing,Lead,Voluntary
EMP0715,11/21/2022,,Operations,Senior,
EMP0716,06/20/2021,,Sales,Senior,
EMP0717,11/05/2022,,Customer Support,Individual Contributor,
EMP0718,01/17/2021,05/18/2021,Sales,Lead,Voluntary
EMP0719,09/24/2020,,Sales,Manager,
EMP0720,12/26/2021,02/09/2022,Operations,Individual Contributor,Involuntary
EMP0721,06/19/2021,,Engineering,Individual Contributor,
EMP0722,03/25/2021,08/18/2023,Finance,Manager,Voluntary
EMP0723,06/19/2025,,Operations,Individual Contributor,
EMP0724,11/14/2024,,Customer Support,Individual Contributor,
EMP0725,03/15/2020,10/30/2020,Customer Support,Individual Contributor,Voluntary
EMP0726,01/13/2020,05/13/2022,HR,Individual Contributor,Voluntary
EMP0727,07/08/2020,02/15/2023,Finance,Lead,Voluntary
EMP0728,05/10/2023,09/21/2023,Finance,Individual Contributor,Involuntary
EMP0729,08/02/2023,,Finance,Individual Contributor,
EMP0730,06/20/2023,04/27/2024,Finance,Senior,Voluntary
EMP0731,05/02/2022,09/26/2022,HR,Lead,Voluntary
EMP0732,08/12/2024,,Engineering,Individual Contributor,
EMP0733,09/22/2021,02/11/2022,Operations,Senior,Involuntary
EMP0734,09/01/2021,10/21/2021,Operations,Senior,Involuntary
EMP0735,01/23/2022,12/02/2024,Sales,Senior,Involuntary
EMP0736,02/20/2020,07/09/2020,Customer Support,Senior,
EMP0737,06/06/2023,02/02/2025,Finance,Senior,Voluntary
EMP0738,08/01/2020,09/22/2022,Operations,Individual Contributor,Voluntary
EMP0739,05/01/2021,09/24/2021,Marketing,Individual Contributor,Involuntary
EMP0740,03/08/2021,07/27/2021,Finance,Manager,
EMP0741,01/18/2024,,Finance,Individual Contributor,
EMP0742,06/14/2023,,HR,Individual Contributor,
EMP0743,05/03/2023,,Customer Support,Individual Contributor,
EMP0744,03/17/2021,07/22/2022,HR,Individual Contributor,Voluntary
EMP0745,05/27/2021,01/04/2022,Customer Support,Individual Contributor,Voluntary
EMP0746,11/25/2020,07/12/2021,Marketing,Senior,Voluntary
EMP0747,02/18/2020,12/22/2022,Sales,Lead,Voluntary
EMP0748,07/06/2022,11/13/2024,Sales,Senior,Voluntary
EMP0749,11/08/2024,,Finance,Individual Contributor,
EMP0750,03/23/2022,04/29/2022,Operations,Individual Contributor,Voluntary
EMP0751,10/18/2022,,Sales,Senior,
EMP0752,03/01/2021,07/28/2023,Customer Support,Manager,Involuntary
EMP0753,03/19/2022,05/06/2024,Customer Support,Senior,Involuntary
EMP0754,07/25/2022,11/25/2023,Sales,Individual Contributor,Voluntary
EMP0755,01/23/2023,08/26/2023,Operations,Manager,Voluntary
EMP0756,04/16/2023,,Finance,Senior,
EMP0757,02/21/2025,,Engineering,Individual Contributor,
EMP0758,06/21/2023,11/03/2024,Customer Support,Individual Contributor,Voluntary
EMP0759,08/14/2024,,HR,Lead,
EMP0760,09/22/2021,01/30/2022,Customer Support,Manager,Involuntary
EMP0761,06/24/2022,,Finance,Individual Contributor,
EMP0762,01/21/2021,,Customer Support,Lead,
EMP0763,01/27/2021,,HR,Senior,
EMP0764,06/16/2023,,Customer Support,Senior,
EMP0765,10/07/2020,,Finance,Individual Contributor,
EMP0766,09/17/2020,01/17/2022,Sales,Individual Contributor,Voluntary
EMP0767,08/24/2023,01/05/2024,Sales,Lead,Involuntary
EMP0768,11/28/2020,,Marketing,Senior,
EMP0769,03/03/2022,,Operations,Manager,
EMP0770,09/11/2022,07/22/2023,Product Development,Senior,Involuntary
EMP0771,11/28/2022,,HR,Individual Contributor,
EMP0772,09/27/2021,08/06/2022,Finance,Director,Voluntary
EMP0773,08/07/2021,03/12/2023,Finance,Senior,Involuntary
EMP0774,11/09/2023,,Engineering,Senior,
EMP0775,08/05/2022,,Sales,Individual Contributor,
EMP0776,08/01/2021,,Customer Support,Lead,
EMP0777,08/25/2022,,Marketing,Manager,
EMP0778,10/16/2023,,Operations,Manager,
EMP0779,07/19/2023,03/17/2024,Marketing,Lead,Involuntary
EMP0780,07/28/2021,03/12/2022,HR,Individual Contributor,Voluntary
EMP0781,05/18/2023,07/04/2023,Marketing,Individual Contributor,Voluntary
EMP0782,07/20/2021,,Marketing,Individual Contributor,
EMP0783,05/17/2021,06/19/2023,Product Development,Individual Contributor,Voluntary
EMP0784,11/07/2022,10/04/2023,Marketing,Senior,Voluntary
EMP0785,11/11/2021,06/26/2023,Operations,Individual Contributor,Involuntary
EMP0786,12/13/2020,01/21/2021,Product Development,Individual Contributor,
EMP0787,10/22/2023,12/18/2023,HR,Individual Contributor,Involuntary
EMP0788,03/01/2023,10/01/2023,HR,Lead,Layoff
EMP0789,11/13/2024,,Operations,Individual Contributor,
EMP0790,07/05/2021,02/11/2024,Operations,Individual Contributor,Voluntary
EMP0791,09/28/2020,11/14/2023,Sales,Individual Contributor,Voluntary
EMP0792,01/17/2022,09/13/2024,Finance,Individual Contributor,Layoff
EMP0793,01/20/2024,,Customer Support,Individual Contributor,
EMP0794,03/07/2020,07/16/2021,HR,Director,
EMP0795,09/02/2024,,Engineering,Senior,
EMP0796,10/08/2022,12/03/2023,Product Development,Senior,Voluntary
EMP0797,02/01/2024,03/16/2024,Operations,Individual Contributor,Involuntary
EMP0798,01/26/2023,12/08/2023,Product Development,Individual Contributor,Voluntary
EMP0799,09/13/2022,01/28/2023,Product Development,Individual Contributor,Voluntary
EMP0800,06/10/2021,01/16/2022,Finance,Individual Contributor,Voluntary
EMP0801,09/04/2021,04/19/2025,Sales,Individual Contributor,Voluntary
EMP0802,10/27/2022,,Marketing,Senior,
EMP0803,02/06/2021,,Customer Support,Individual Contributor,
EMP0804,01/28/2020,06/10/2023,HR,Individual Contributor,Layoff
EMP0805,05/15/2022,,Finance,Senior,
EMP0806,06/16/2024,08/01/2024,Operations,Individual Contributor,Voluntary
EMP0807,10/06/2021,02/23/2022,Finance,Individual Contributor,Involuntary
EMP0808,08/12/2020,12/14/2024,Operations,Individual Contributor,Voluntary
EMP0809,10/10/2022,,Operations,Individual Contributor,
EMP0810,11/23/2022,04/12/2024,HR,Senior,Involuntary
EMP0811,02/24/2021,01/01/2025,HR,Individual Contributor,Voluntary
EMP0812,07/01/2022,,Engineering,Individual Contributor,
EMP0813,03/27/2023,02/21/2024,HR,Senior,Involuntary
EMP0814,06/15/2024,,Sales,Senior,
EMP0815,10/01/2022,05/13/2023,Sales,Lead,Voluntary
EMP0816,12/15/2020,10/21/2023,Operations,Senior,Voluntary
EMP0817,04/06/2022,05/18/2024,Marketing,Senior,Voluntary
EMP0818,07/13/2021,,Engineering,Lead,
EMP0819,12/09/2023,,Engineering,Manager,
EMP0820,10/22/2021,09/06/2022,Operations,Lead,Voluntary
EMP0821,03/12/2020,07/29/2020,Finance,Manager,Involuntary
EMP0822,01/28/2022,,Operations,Individual Contributor,
EMP0823,03/15/2023,07/16/2023,HR,Senior,Involuntary
EMP0824,04/10/2022,,Marketing,Individual Contributor,
EMP0825,12/02/2020,,Marketing,Senior,
EMP0826,02/17/2023,04/10/2023,Product Development,Individual Contributor,Voluntary
EMP0827,09/18/2023,11/03/2024,Marketing,Lead,Involuntary
EMP0828,08/08/2024,12/18/2024,Operations,Senior,Voluntary
EMP0829,07/27/2025,,Customer Support,Manager,
EMP0830,09/16/2020,11/01/2021,Marketing,Manager,Voluntary
EMP0831,10/01/2021,11/14/2022,Product Development,Senior,Voluntary
EMP0832,07/19/2020,09/08/2023,Product Development,Individual Contributor,Voluntary
EMP0833,09/02/2023,,Customer Support,Individual Contributor,
EMP0834,01/01/2022,05/28/2022,Customer Support,Lead,Involuntary
EMP0835,01/17/2022,,Engineering,Individual Contributor,
EMP0836,06/15/2021,11/06/2022,Customer Support,Senior,Voluntary
EMP0837,01/06/2021,08/07/2021,Sales,Senior,Voluntary
EMP0838,02/02/2024,,HR,Individual Contributor,
EMP0839,08/24/2022,07/15/2023,Customer Support,Individual Contributor,Voluntary
EMP0840,10/24/2024,,Customer Support,Senior,
EMP0841,06/28/2022,,Sales,Manager,
EMP0842,01/09/2022,11/26/2022,Customer Support,Individual Contributor,Voluntary
EMP0843,08/07/2023,03/31/2025,Sales,Individual Contributor,Voluntary
EMP0844,08/20/2022,,Sales,Senior,
EMP0845,06/20/2023,,Sales,Lead,
EMP0846,03/05/2021,11/02/2021,Product Development,Lead,Voluntary
EMP0847,06/05/2021,04/11/2023,HR,Individual Contributor,Voluntary
EMP0848,08/25/2021,10/12/2022,Finance,Individual Contributor,Voluntary
EMP0849,11/02/2022,,Finance,Individual Contributor,
EMP0850,04/10/2022,03/08/2023,HR,Individual Contributor,Voluntary
EMP0851,07/26/2023,,Operations,Individual Contributor,
EMP0852,10/12/2023,,Marketing,Lead,
EMP0853,12/02/2020,04/20/2021,HR,Individual Contributor,Voluntary
EMP0854,11/16/2021,01/08/2022,Marketing,Individual Contributor,Voluntary
EMP0855,09/13/2020,08/07/2021,HR,Individual Contributor,Voluntary
EMP0856,10/28/2022,03/01/2023,Marketing,Individual Contributor,Involuntary
EMP0857,05/20/2021,09/21/2023,HR,Individual Contributor,Involuntary
EMP0858,03/05/2022,04/10/2024,Engineering,Individual Contributor,Voluntary
EMP0859,04/01/2022,08/04/2023,Product Development,Individual Contributor,Involuntary
EMP0860,05/11/2023,,HR,Individual Contributor,
EMP0861,06/24/2023,,Engineering,Individual Contributor,
EMP0862,07/15/2022,05/18/2023,HR,Lead,Voluntary
EMP0863,03/06/2020,,Operations,Individual Contributor,
EMP0864,03/07/2021,04/15/2024,Customer Support,Senior,Layoff
EMP0865,02/23/2024,01/05/2025,Engineering,Senior,Involuntary
EMP0866,02/22/2023,10/18/2023,HR,Lead,Voluntary
EMP0867,01/17/2022,05/26/2022,HR,Senior,Voluntary
EMP0868,01/20/2021,05/28/2023,Customer Support,Individual Contributor,Involuntary
